rubro,CLAE2,letra
ACONDICIONAMIENTO Y EMPAQUE,52,H
ACOPIO,52,H
ACOPIO Y ACONDICIONAMIENTO DE GRANOS,52,H
ACUICULTURA,3,A
AGICULTURA/FRUTICULTURA,1,A
AGICULTURA/HORTICULTURA,1,A
AGRICULTURA,1,A
AGRICULTURA/GANADERIA,1,A
ALIMENTACION ANIMAL,1,A
ALMACENAMIENTO,52,H
ALMACENAMIENTO Y FRIO PARA FRUTAS NO CITRICAS,52,H
APICULTURA,1,A
BODEGA VITIVINICOLA,11,C
"BODEGA VITIVINICOLA Y ELABORACION DE  VINAGRE, MERMELADAS, HUMUS DE LOMBRIZ",11,C
BODEGA VITIVINICOLA. ELABORACION DE MOSTO CONCENTRADO DE UVAS,11,C
BODEGA VITIVINICOLA. ELABORACION DE MOSTO CONCENTRADO DE UVAS,52,H
DEPOSITO DE YERBA,52,H
ELABORACION,10,C
"ELABORACION , FRACCIONAMIENTO Y DEPOSITO DE HIERBAS AROMATICAS Y MEDICINALES",10,C
ELABORACION DE  JUGOS CONCENTRADOS Y FABRICA DE ACEITES ESENCIALES,10,C
ELABORACION DE ACEITE DE ROSA MOSQUETA,10,C
ELABORACION DE DULCES,10,C
ELABORACION DE DULCES Y FRUTAS EN ALMIBAR,10,C
ELABORACION DE JUGO CONCENTRADO,11,C
ELABORACION DE JUGO CONCENTRADO DE MANZANA Y PERA,10,C
"ELABORACION DE JUGOS CONCENTRADOS, ACEITE ESCENCIAL Y PULPA DE CITRICOS",10,C
ELABORACION DE JUGOS Y BODEGA VITIVINICOLA,10,C
ELABORACION DE MANZANA Y PERA DEHIDRATADA,10,C
ELABORACION DE MOSTO CONCENTRADO,10,C
ELABORACION DE MOSTO CONCENTRADO DE UVA,10,C
ELABORACION DE PASAS DE UVA,10,C
ELABORACION GRANOS,10,C
ELABORACION Y ENVASADO,10,C
ELABORACION Y EXTRACCION DE ACEITE,10,C
"ELABORACION, FRACCIONAMIENTO Y EMPAQUE",10,C
"ELABORACION, FRACCIONAMIENTO, ALMACENAMIENTO, CONGELADO",10,C
ELABORACION; FRACCIONAMIENTO; EMPAQUE; ACOPIO,11,C
EMPAQUE DE FRUTAS NO CITRICAS,52,H
EMPAQUE DE HORTALIZAS,52,H
EMPAQUE DE HORTALIZAS Y FRUTAS NO CITRICAS,52,H
EMPAQUE DE PRODUCTOS DE LIMON,52,H
EMPAQUE FRUTAS NO CITRICAS,52,H
EMPAQUE PARA FRUTA NO CITRICA,52,H
EMPAQUE Y FRIGORIFICO DE FRUTAS NO CITRICAS,52,H
EMPAQUE Y FRIGORIFICO FRUTAS NO CITRICAS,52,H
EMPAQUE Y FRIO,52,H
EXTRACCION DE ACEITE,10,C
EXTRACCION DE ACEITE Y ELABORACION DE ACEITUNAS Y OTROS,10,C
EXTRACCION DE MIEL,10,C
EXTRACCION Y FRACCIONAMIENTO DE MIEL,10,C
FRACCIONAMIENTO,10,C
FRACCIONAMIENTO DE MIEL,10,C
"FRACCIONAMIENTO DE TE, YERBA MATE",10,C
FRACCIONAMIENTO DE VINO,11,C
FRACCIONAMIENTO Y EMPAQUE DE ARROZ,10,C
FRIGORIFICO PARA  MOSTO,10,C
FRIGORIFICOS PARA  FRUTAS,10,C
FRIGORIFICOS Y EMPAQUE PARA  FRUTAS,10,C
FRUTICULTURA,1,A
FRUTICULTURA/AGRICULTURA,1,A
FRUTICULTURA/HORTICULTURA,1,A
GANADERIA,1,A
GANADERIA/FRUTICULTURA,1,A
HORTICULTURA,1,A
INDUSTRIA CARNICA,10,C
INDUSTRIA LACTEA,10,C
INDUSTRIA VITIVINICOLA,11,C
INDUSTRIALIZACION DE FRUTAS DESECADAS,10,C
INDUSTRIALIZACION DE LIMON,10,C
INDUSTRIALIZACION DE YERBA MATE,10,C
LIMPIEZA DE GRANOS,10,C
MOLINO DE YERBA MATE,10,C
OTROS,10,C
"PANIFICACION, GRANOS Y CEREALES, HARINAS, LEGUMBRES, YERBA MATE, AZUCAR, MIEL",10,C
PROCESADO Y ENVASADO DE HORTALIZAS,10,C
PROCESAMIENTO APICOLA,10,C
PROCESAMIENTO CEREALES Y OLEAGINOSAS,10,C
PROCESAMIENTO CULTIVOS INDUSTRIALES,10,C
PROCESAMIENTO DE CEREALES Y OLEAGINOSAS.,10,C
PROCESAMIENTO DE MANI,10,C
PROCESAMIENTO DE MANI Y SOJA,10,C
PROCESAMIENTO DE TE,10,C
PROCESAMIENTO DE TE Y MOLINO YERBA MATE,10,C
PROCESAMIENTO FRUTALES Y HORTALIZAS,10,C
PROCESAMIENTO PRODUCTOS ORGANICOS,10,C
PROCESAMIENTO TEXTIL,13,C
PRODUCTOS PARA EL CUIDADO PERSONAL,20,C
RECOLECCION SILVESTRE,2,A
"SECADERO , MOLINO Y FRACCIONAMIENTO DE TE, YERBA MATE",1,A
SECADERO DE FRUTAS,1,A
SECADO,1,A
SECADO - DESPALILLADO - EMBOLSADO,1,A
SECADO DE FRUTAS,1,A
"SECADO, ACONDICIONAMIENTO, ELABORACION Y ACOPIO",1,A
SECADO; PELADO; ENVASADO; ALMACENAMIENTO,1,A